WFH Type,Operation Policy,Battery,PV,Cost
1,hybrid_bidirectional,2.227777777777778,4.653968888888889,6842.238888888889
1,hybrid_unidirectional,11.255555555555555,6.171428888888888,12891.844444444443
1,optimal_bidirectional,0.4833333333333334,2.5682533333333337,3432.6511111111113
1,optimal_unidirectional,9.450000000000001,6.060316666666667,11922.392222222225
1,safe_bidirectional,11.944444444444445,6.168254444444445,13204.766666666666
1,safe_unidirectional,12.161111111111111,6.253966666666667,13411.555555555555
2,hybrid_bidirectional,0.12222222222222223,5.695235555555556,7175.27111111111
2,hybrid_unidirectional,9.933333333333334,6.063492222222222,12148.699999999999
2,optimal_bidirectional,0.09444444444444444,4.55238,5733.921111111111
2,optimal_unidirectional,9.511111111111113,6.053967777777777,11942.567777777778
2,safe_bidirectional,10.200000000000001,6.009523333333332,12203.896666666667
2,safe_unidirectional,10.46111111111111,6.057143333333333,12383.54111111111
3,hybrid_bidirectional,0.05555555555555555,3.7396811111111106,4700.154444444444
3,hybrid_unidirectional,9.366666666666665,5.965078888888889,11765.015555555556
3,optimal_bidirectional,0.044444444444444446,2.8253955555555557,3552.19
3,optimal_unidirectional,9.366666666666667,5.965077777777777,11765.004444444445
3,safe_bidirectional,9.061111111111112,5.977776666666667,11640.31777777778
3,safe_unidirectional,9.511111111111111,5.95238,11815.581111111112
