PVWatts Hourly PV Performance Data;;;;;;;;;;;
Requested Location;shetland islands lerwick;;;;;;;;;;
Location;ABERDEEN/DYCE, UNITED KINGDOM;;;;;;;;;;
Latitude (DD);57.20;;;;;;;;;;
Longitude (DD);-2.22;;;;;;;;;;
Elevation (m);65;;;;;;;;;;
DC System Size (kW);1;;;;;;;;;;
Module Type;Standard;;;;;;;;;;
Array Type;Fixed (open rack);;;;;;;;;;
Array Tilt (deg);20;;;;;;;;;;
Array Azimuth (deg);180;;;;;;;;;;
System Losses (%);14.08;;;;;;;;;;
DC to AC Size Ratio;1.2;;;;;;;;;;
Inverter Efficiency (%);96;;;;;;;;;;
Ground Coverage Ratio;NA;;;;;;;;;;
Albedo;From weather file;;;;;;;;;;
Bifacial;No (0);;;;;;;;;;
Monthly Irradiance Loss (%);;;;;;;;;;;
1;4;2;0;0;3.5;3.1;0.35;0;3.5;0;0
1;4;3;0;0;3.5;3.1;0.35;0;3.5;0;0
1;4;4;0;0;3.5;4.1;0.35;0;3.5;0;0
1;4;5;0;0;3.5;1;0.35;0;3.5;0;0
1;4;6;0;0;3.3;2.1;0.35;0;3.3;0;0
1;4;7;0;0;3.7;4.1;0.35;0;3.7;0;0
1;4;8;0;0;3.5;3.1;0.35;0;0;0;0
1;4;9;0;8;3.6;3.6;0.35;7.45;3.716;3.72;0
1;4;10;0;22;3.5;1.5;0.35;20.518;4.05;16.368;11.824
1;4;11;0;33;3.2;3.6;0.35;30.802;3.764;25.633;20.761
1;4;12;0;35;3.4;1;0.35;32.672;4.394;27.26;22.331
1;4;13;0;28;3.4;1;0.35;26.126;4.192;21.384;16.663
1;4;14;0;13;4.1;5.7;0.35;12.112;4.263;8.694;4.423
1;4;15;0;2;4;6.7;0.35;1.903;4.02;892;0
1;4;16;0;0;3.9;6.7;0.35;0;3.9;0;0
1;4;17;0;0;3.9;6.7;0.35;0;3.9;0;0
1;4;18;0;0;3.8;5.1;0.35;0;3.8;0;0
1;4;19;0;0;3.7;5.1;0.35;0;3.7;0;0
1;4;20;0;0;3.7;6.2;0.35;0;3.7;0;0
1;4;21;0;0;3.6;5.1;0.35;0;3.6;0;0
1;4;22;0;0;3.6;5.1;0.35;0;3.6;0;0
1;4;23;0;0;3.4;5.1;0.35;0;3.4;0;0
1;5;0;0;0;3.2;4.1;0.35;0;3.2;0;0
1;5;1;0;0;3.2;4.6;0.35;0;3.2;0;0
1;5;2;0;0;3.4;4.6;0.35;0;3.4;0;0
1;5;3;0;0;3.5;4.1;0.35;0;3.5;0;0
1;5;4;0;0;3.4;5.7;0.35;0;3.4;0;0
1;5;5;0;0;3.5;4.1;0.35;0;3.5;0;0
1;5;6;0;0;3.4;3.1;0.35;0;3.4;0;0
1;5;7;0;0;3.5;6.2;0.35;0;3.5;0;0
1;5;8;0;0;2.7;3.6;0.35;0;0;0;0
1;5;9;0;15;3.8;5.7;0.35;13.995;3.965;7.181;2.963
1;5;10;0;42;3.8;4.1;0.35;42.78;4.523;35.16;29.951
1;5;11;8;62;3.5;4.6;0.35;68.144;4.583;58.433;52.399
1;5;12;13;66;3.7;5.1;0.35;75.16;4.821;64.871;58.609
1;5;13;7;53;3.8;6.2;0.35;58.053;4.559;49.096;43.393
1;5;14;0;25;3.3;5.1;0.35;23.608;3.642;17.696;13.106
1;5;15;0;4;3.4;4.6;0.35;3.805;3.451;1.85;0
1;5;16;0;0;3.8;8.2;0.35;0;3.8;0;0
1;5;17;0;0;3.3;3.1;0.35;0;3.3;0;0
1;5;18;0;0;3.7;3.6;0.35;0;3.7;0;0
1;5;19;0;0;4;4.6;0.35;0;4;0;0
1;5;20;0;0;3.8;5.1;0.35;0;3.8;0;0
1;5;21;0;0;4.2;5.7;0.35;0;4.2;0;0
1;5;22;0;0;4;5.7;0.35;0;4;0;0
1;5;23;0;0;3.3;3.1;0.35;0;3.3;0;0
1;6;0;0;0;4.2;7.2;0.35;0;4.2;0;0
