"PVWatts Hourly PV Performance Data"
"Requested Location","weymouth"
"Location","Lat, Lng: 50.61, -2.46"
"Latitude (DD)","50.61"
"Longitude (DD)","-2.46"
"Elevation (m)","6"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","4","6","0","0","8.6","7.9","0.2","0","8.6","0","0"
"1","4","7","0","0","8.8","7.8","0.2","0","8.8","0","0"
"1","4","8","0","0","8.9","8","0.2","0","0","0","0"
"1","4","9","0","13","9.2","8.1","0.2","12.054","9.33","37.197","20.025"
"1","4","10","0","6","9.5","8.2","0.2","5.561","9.56","16.975","0.519"
"1","4","11","0","43","9.8","9","0.2","39.964","10.203","133.595","113.007"
"1","4","12","0","18","10.1","9.9","0.2","16.701","10.257","53.754","35.995"
"1","4","13","0","4","10.2","10.5","0.2","3.707","10.233","11.094","0"
"1","4","14","0","20","10.3","11.2","0.2","18.557","10.458","59.189","41.237"
"1","4","15","0","11","10.4","11.9","0.2","10.199","10.48","27.828","10.988"
"1","4","16","0","0","10.4","12.4","0.2","0","10.4","0","0"
"1","4","17","0","0","10.5","12.6","0.2","0","10.5","0","0"
"1","4","18","0","0","10.5","13","0.2","0","10.5","0","0"
"1","4","19","0","0","10.4","13.2","0.2","0","10.4","0","0"
"1","4","20","0","0","10.4","13.3","0.2","0","10.4","0","0"
"1","4","21","0","0","10.4","13.5","0.2","0","10.4","0","0"
"1","4","22","0","0","10.4","13.9","0.2","0","10.4","0","0"
"1","4","23","0","0","10.5","14.2","0.2","0","10.5","0","0"
"1","5","0","0","0","10.6","14.4","0.2","0","10.6","0","0"
"1","5","1","0","0","10.8","14.5","0.2","0","10.8","0","0"
"1","5","2","0","0","11.1","14.5","0.2","0","11.1","0","0"
"1","5","3","0","0","11.3","14.4","0.2","0","11.3","0","0"
"1","5","4","0","0","11.6","14.3","0.2","0","11.6","0","0"
"1","5","5","0","0","11.9","14.1","0.2","0","11.9","0","0"
"1","5","6","0","0","12","13.8","0.2","0","12","0","0"
"1","5","7","0","0","12","13.4","0.2","0","12","0","0"
"1","5","8","0","0","11.9","13.2","0.2","0","0","0","0"
"1","5","9","0","9","11.6","13","0.2","8.341","11.663","25.031","8.29"
"1","5","10","3","62","11.3","13.2","0.2","61.042","11.755","205.566","182.428"
"1","5","11","2","108","11","13.6","0.2","111.09","11.809","384.265","354.795"
"1","5","12","0","90","10.8","13.6","0.2","88.25","11.443","303.12","276.525"
"1","5","13","0","61","10.6","13.1","0.2","57.485","11.031","194.181","171.446"
"1","5","14","17","101","10.4","12.4","0.2","120.598","11.344","414.538","383.995"
"1","5","15","0","20","10","11.6","0.2","18.575","10.148","52.974","35.243"
"1","5","16","0","0","9.7","10.9","0.2","0","9.7","0","0"
"1","5","17","0","0","9.4","10.3","0.2","0","9.4","0","0"
"1","5","18","0","0","9.3","9.8","0.2","0","9.3","0","0"
"1","5","19","0","0","9.1","9.4","0.2","0","9.1","0","0"
"1","5","20","0","0","9","9.1","0.2","0","9","0","0"
"1","5","21","0","0","8.8","9","0.2","0","8.8","0","0"
"1","5","22","0","0","8.7","8.9","0.2","0","8.7","0","0"
"1","5","23","0","0","8.5","8.7","0.2","0","8.5","0","0"
"1","6","0","0","0","8.3","8.5","0.2","0","8.3","0","0"
"1","6","1","0","0","8.2","8.4","0.2","0","8.2","0","0"
"1","6","2","0","0","8.1","8.2","0.2","0","8.1","0","0"
"1","6","3","0","0","8","7.8","0.2","0","8","0","0"
"1","6","4","0","0","7.9","7.3","0.2","0","7.9","0","0"
"1","6","5","0","0","7.7","6.7","0.2","0","7.7","0","0"
"1","6","6","0","0","7.6","6.1","0.2","0","7.6","0","0"
"1","6","7","0","0","7.5","5.7","0.2","0","7.5","0","0"
"1","6","8","0","0","7.8","5.2","0.2","0","0","0","0"
"1","6","9","0","18","8.5","4.8","0.2","16.7","8.758","52.504","34.789"
"1","6","10","3","92","9.1","4.5","0.2","96.26","10.656","331.422","303.824"
"1","6","11","14","139","9.6","4.3","0.2","156.889","12.211","549.055","513.745"
"1","6","12","0","63","9.9","4.7","0.2","58.933","10.829","199.752","176.819"
"1","6","13","0","9","10.2","5.3","0.2","8.344","10.322","25.968","9.193"
"1","6","14","0","13","10.2","5.7","0.2","12.054","10.367","37.763","20.571"
"1","6","15","0","16","10.1","6.2","0.2","14.848","10.29","42.444","25.085"
"1","6","16","0","0","10","6.6","0.2","0","10","0","0"
"1","6","17","0","0","10.2","6.9","0.2","0","10.2","0","0"
"1","6","18","0","0","10.4","6.9","0.2","0","10.4","0","0"
"1","6","19","0","0","10.4","6.9","0.2","0","10.4","0","0"
"1","6","20","0","0","10.2","6.9","0.2","0","10.2","0","0"
"1","6","21","0","0","10.2","7.1","0.2","0","10.2","0","0"
"1","6","22","0","0","10.4","7.4","0.2","0","10.4","0","0"
"1","6","23","0","0","10.7","7.9","0.2","0","10.7","0","0"
"1","7","0","0","0","10.8","8.2","0.2","0","10.8","0","0"
"1","7","1","0","0","10.8","8.4","0.2","0","10.8","0","0"
"1","7","2","0","0","11","8.6","0.2","0","11","0","0"
"1","7","3","0","0","11.1","8.5","0.2","0","11.1","0","0"
"1","7","4","0","0","11.3","8.3","0.2","0","11.3","0","0"
"1","7","5","0","0","11.2","8","0.2","0","11.2","0","0"
"1","7","6","0","0","10.8","7.5","0.2","0","10.8","0","0"
"1","7","7","0","0","10.2","7.5","0.2","0","10.2","0","0"
"1","7","8","0","0","9.6","7.3","0.2","0","0","0","0"
"1","7","9","0","9","9.5","7.1","0.2","8.341","9.599","25.318","8.566"
"1","7","10","0","62","9.8","6.9","0.2","59.364","10.526","200.646","177.682"
"1","7","11","1","99","10","7.1","0.2","99.506","11.194","343.652","315.621"
"1","7","12","29","135","10.2","7.1","0.2","168.655","12.225","592.707","555.851"
"1","7","13","20","118","10.2","6.8","0.2","134.965","11.869","470.568","438.04"
"1","7","14","0","31","10","6.3","0.2","28.792","10.374","93.855","74.675"
"1","7","15","0","18","9.6","6","0.2","16.709","9.819","48.685","31.105"
"1","7","16","0","0","9.2","6.2","0.2","0","9.2","0","0"
"1","7","17","0","0","9.2","6.5","0.2","0","9.2","0","0"
"1","7","18","0","0","9.2","6.6","0.2","0","9.2","0","0"
"1","7","19","0","0","9.2","6.7","0.2","0","9.2","0","0"
"1","7","20","0","0","9.3","6.7","0.2","0","9.3","0","0"
"1","7","21","0","0","9.4","6.7","0.2","0","9.4","0","0"
"1","7","22","0","0","9.4","6.6","0.2","0","9.4","0","0"
"1","7","23","0","0","9.3","6.8","0.2","0","9.3","0","0"
"1","8","0","0","0","9.3","6.9","0.2","0","9.3","0","0"
"1","8","1","0","0","9.3","6.9","0.2","0","9.3","0","0"
"1","8","2","0","0","9.1","6.7","0.2","0","9.1","0","0"
"1","8","3","0","0","8.9","6.6","0.2","0","8.9","0","0"
"1","8","4","0","0","8.8","6.4","0.2","0","8.8","0","0"
"1","8","5","0","0","8.7","6.2","0.2","0","8.7","0","0"
"1","8","6","0","0","8.7","6","0.2","0","8.7","0","0"
"1","8","7","0","0","8.7","5.7","0.2","0","8.7","0","0"
"1","8","8","0","0","8.8","5.2","0.2","0","0","0","0"
"1","8","9","0","32","9.4","4.9","0.2","29.739","9.853","95.569","76.328"
"1","8","10","2","85","9.9","4.7","0.2","86.821","11.267","297.129","270.747"
"1","8","11","0","46","10.3","4.5","0.2","42.76","10.992","142.908","121.99"
"1","8","12","0","23","10.7","4.5","0.2","21.348","11.046","69.238","50.93"
"1","8","13","0","9","11","4.2","0.2","8.345","11.141","25.874","9.103"
"1","8","14","0","19","11.1","3.9","0.2","17.627","11.41","55.996","38.157"
"1","8","15","0","4","11.1","3.7","0.2","3.704","11.166","10.078","0"
"1","8","16","0","0","10.9","3.8","0.2","0","10.9","0","0"
"1","8","17","0","0","10.7","4","0.2","0","10.7","0","0"
"1","8","18","0","0","10.5","4.3","0.2","0","10.5","0","0"
"1","8","19","0","0","10.2","4.4","0.2","0","10.2","0","0"
"1","8","20","0","0","10","4.4","0.2","0","10","0","0"
"1","8","21","0","0","9.9","4.5","0.2","0","9.9","0","0"
"1","8","22","0","0","9.8","4.7","0.2","0","9.8","0","0"
"1","8","23","0","0","9.8","4.8","0.2","0","9.8","0","0"
"1","9","0","0","0","9.7","4.9","0.2","0","9.7","0","0"
"1","9","1","0","0","9.7","4.9","0.2","0","9.7","0","0"
"1","9","2","0","0","9.6","4.9","0.2","0","9.6","0","0"
"1","9","3","0","0","9.6","5.1","0.2","0","9.6","0","0"
"1","9","4","0","0","9.7","5.2","0.2","0","9.7","0","0"
"1","9","5","0","0","9.7","5.4","0.2","0","9.7","0","0"
"1","9","6","0","0","9.8","5.6","0.2","0","9.8","0","0"
"1","9","7","0","0","10","5.8","0.2","0","10","0","0"
"1","9","8","0","0","10.3","6","0.2","0","0","0","0"
"1","9","9","0","6","10.7","5.8","0.2","5.558","10.776","16.477","0.039"
"1","9","10","0","6","10.9","5.7","0.2","5.561","10.977","16.873","0.421"
"1","9","11","0","52","11.1","5.8","0.2","48.356","11.766","161.921","140.329"
"1","9","12","0","68","11.2","6.1","0.2","64.012","12.053","216.619","193.089"
"1","9","13","5","121","11.3","6.2","0.2","129.618","13.008","448.64","416.888"
"1","9","14","0","7","11.3","5.9","0.2","6.487","11.388","19.677","3.126"
"1","9","15","0","9","11.1","5.5","0.2","8.341","11.216","23.817","7.119"
"1","9","16","0","0","11","5.4","0.2","0","11","0","0"
"1","9","17","0","0","10.9","5.2","0.2","0","10.9","0","0"
"1","9","18","0","0","10.8","5","0.2","0","10.8","0","0"
"1","9","19","0","0","10.8","4.9","0.2","0","10.8","0","0"
"1","9","20","0","0","10.7","4.8","0.2","0","10.7","0","0"
"1","9","21","0","0","10.6","4.6","0.2","0","10.6","0","0"
"1","9","22","0","0","10.6","4.6","0.2","0","10.6","0","0"
"1","9","23","0","0","10.6","4.6","0.2","0","10.6","0","0"
"1","10","0","0","0","10.6","4.6","0.2","0","10.6","0","0"
"1","10","1","0","0","10.6","4.6","0.2","0","10.6","0","0"
"1","10","2","0","0","10.5","4.5","0.2","0","10.5","0","0"
"1","10","3","0","0","10.4","4.5","0.2","0","10.4","0","0"
"1","10","4","0","0","10.2","4.5","0.2","0","10.2","0","0"
"1","10","5","0","0","10.1","4.6","0.2","0","10.1","0","0"
"1","10","6","0","0","10","4.6","0.2","0","10","0","0"
"1","10","7","0","0","9.9","4.5","0.2","0","9.9","0","0"
"1","10","8","0","0","10.1","4.5","0.2","0","0","0","0"
"1","10","9","0","8","10.6","4.7","0.2","7.413","10.716","22.307","5.662"
"1","10","10","0","57","10.9","4.9","0.2","53.755","11.725","180.178","157.94"
"1","10","11","10","136","11","5","0.2","149.345","13.266","519.612","485.346"
"1","10","12","0","70","11.1","5.1","0.2","66.054","12.089","223.788","200.004"
"1","10","13","0","48","11.1","5","0.2","44.626","11.777","148.835","127.707"
"1","10","14","0","13","10.9","4.9","0.2","12.054","11.085","37.735","20.543"
"1","10","15","0","9","10.6","4.5","0.2","8.341","10.732","24.058","7.352"
"1","10","16","0","0","10.3","4.3","0.2","0","10.3","0","0"
"1","10","17","0","0","10.1","4.2","0.2","0","10.1","0","0"
"1","10","18","0","0","9.9","4.1","0.2","0","9.9","0","0"
"1","10","19","0","0","9.7","4.1","0.2","0","9.7","0","0"
"1","10","20","0","0","9.5","4.2","0.2","0","9.5","0","0"
"1","10","21","0","0","9.4","4.4","0.2","0","9.4","0","0"
"1","10","22","0","0","9.3","4.6","0.2","0","9.3","0","0"
"1","10","23","0","0","9.3","4.7","0.2","0","9.3","0","0"
"1","11","0","0","0","9.2","4.8","0.2","0","9.2","0","0"
"1","11","1","0","0","9.2","4.9","0.2","0","9.2","0","0"
"1","11","2","0","0","9.1","4.9","0.2","0","9.1","0","0"
"1","11","3","0","0","9","4.9","0.2","0","9","0","0"
"1","11","4","0","0","8.9","4.8","0.2","0","8.9","0","0"
"1","11","5","0","0","9","4.6","0.2","0","9","0","0"
"1","11","6","0","0","9.1","4.5","0.2","0","9.1","0","0"
"1","11","7","0","0","9.2","4.4","0.2","0","9.2","0","0"
"1","11","8","0","0","9.6","4.3","0.2","0","0","0","0"
"1","11","9","0","25","10.2","4.3","0.2","23.213","10.583","73.735","55.268"
"1","11","10","6","105","10.6","4.6","0.2","113.045","12.404","389.377","359.726"
"1","11","11","22","150","10.9","4.8","0.2","174.217","13.612","609.057","571.622"
"1","11","12","67","171","11","4.9","0.2","240.957","14.706","849.516","803.56"
"1","11","13","29","155","11","4.7","0.2","187.239","13.953","655.095","616.028"
"1","11","14","13","119","11","4.3","0.2","140.576","13.334","483.863","450.864"
"1","11","15","0","39","10.7","4.1","0.2","39.891","11.37","124.005","103.757"
"1","11","16","0","2","10.5","4","0.2","0","10.5","0","0"
"1","11","17","0","0","10.4","4.1","0.2","0","10.4","0","0"
